https://www.bitget.com/api-doc/contract/market/Get-History-Candle-Data
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
0,0,bitgetBTCUSDT,64734.7,64858.4,64684.6,64838.8,95160392.6639,1470.226,0
0,0,bitgetBTCUSDT,64818.5,64887.2,64716,64734.7,37208700.2734,574.214,0
0,0,bitgetBTCUSDT,64776,64828,64627.9,64818.5,164079043.7044,2536.143,0
0,0,bitgetBTCUSDT,64834.8,64869.7,64759.4,64776,17220160.096,265.684,0
0,0,bitgetBTCUSDT,64793.4,64869.4,64736.9,64834.8,20949432.4707,323.18,0
0,0,bitgetBTCUSDT,64811,64883.4,64743.9,64793.4,31081012.4688,479.636,0
0,0,bitgetBTCUSDT,64881.9,64891.9,64779.9,64811,61134551.6999,943.049,0
0,0,bitgetBTCUSDT,64923.6,64951.3,64873.3,64881.9,36272414.2894,558.787,0
0,0,bitgetBTCUSDT,65013.4,65027.8,64915,64923.6,25903791.7936,398.743,0
0,0,bitgetBTCUSDT,65037.4,65060.4,64980.5,65013.4,19851714.1404,305.353,0
0,0,bitgetBTCUSDT,65049.3,65119.6,65016.3,65037.4,21994054.3728,337.943,0
0,0,bitgetBTCUSDT,65039.9,65111.9,65004.2,65049.3,19991099.5418,307.36,0
0,0,bitgetBTCUSDT,65020,65071.7,65000.1,65039.9,13960960.2742,214.698,0
0,0,bitgetBTCUSDT,65130.1,65130.1,65000,65020,22490157.6054,345.731,0
0,0,bitgetBTCUSDT,65063.5,65225,65000,65130.1,109907071.8967,1687.275,0
0,0,bitgetBTCUSDT,64897.7,65088.4,64852.9,65063.5,83664827.3006,1287.311,0
0,0,bitgetBTCUSDT,64999.7,65030,64847.3,64897.7,21135938.7835,325.588,0
0,0,bitgetBTCUSDT,65018.2,65051.9,64960,64999.7,43736810.607,672.847,0
0,0,bitgetBTCUSDT,64859.2,65035.8,64800.3,65018.2,58402946.2706,899.521,0
0,0,bitgetBTCUSDT,64884.3,64946,64760.7,64859.2,83165896.9865,1281.878,0
0,0,bitgetBTCUSDT,64839.9,64892.5,64707.3,64884.3,172092231.2767,2655.206,0
0,0,bitgetBTCUSDT,64895.2,64924.5,64800.8,64839.9,38394162.2359,592.014,0
0,0,bitgetBTCUSDT,65050.8,65056.4,64894.7,64895.2,36084747.7456,555.369,0
0,0,bitgetBTCUSDT,64901.4,65075.9,64854.6,65050.8,46517784.7538,715.913,0
0,0,bitgetBTCUSDT,64924,64982,64844.5,64901.4,53176087.2473,818.876,0
0,0,bitgetBTCUSDT,64855,64928.7,64780.2,64924,114399869.0651,1764.374,0
0,0,bitgetBTCUSDT,64948.9,64978.2,64812.3,64855,162628345.1847,2506.591,0
0,0,bitgetBTCUSDT,65039.2,65115.7,64910.4,64948.9,128394113.6063,1974.274,0
0,0,bitgetBTCUSDT,65113.4,65139.7,65014.7,65039.2,82596360.2127,1269.821,0
0,0,bitgetBTCUSDT,65120.2,65124.1,65000.5,65113.4,51867957.9796,797.257,0
0,0,bitgetBTCUSDT,65098.6,65142,65071.9,65120.2,15110609.7661,232.035,0
0,0,bitgetBTCUSDT,65140,65186.7,65072.2,65098.6,14274986.9308,219.217,0
0,0,bitgetBTCUSDT,65051.2,65162.6,65001.1,65140,69527992.3387,1067.796,0
0,0,bitgetBTCUSDT,65083.7,65133.7,64998.7,65051.2,60468235.5229,929.011,0
0,0,bitgetBTCUSDT,65069.7,65137.5,64989.1,65083.7,36562154.8733,562.006,0
0,0,bitgetBTCUSDT,65159.7,65250,65064.1,65069.7,50386127.3172,773.049,0
0,0,bitgetBTCUSDT,65146.3,65182.5,65017,65159.7,39390707.0282,605.129,0
0,0,bitgetBTCUSDT,65413.7,65437.8,64959.7,65146.3,241254100.0185,3704.82,0
0,0,bitgetBTCUSDT,65354.4,65417.5,65303,65413.7,23071142.843,353.014,0
0,0,bitgetBTCUSDT,65466.6,65490.3,65310.6,65354.4,52218638.6362,798.35,0
0,0,bitgetBTCUSDT,65232.3,65466.7,65185.2,65466.6,47395286.3194,725.391,0
0,0,bitgetBTCUSDT,65105.5,65250,65100,65232.3,46581338.7015,714.426,0
0,0,bitgetBTCUSDT,65150,65169.8,65090,65105.5,33831429.2117,519.497,0
0,0,bitgetBTCUSDT,65248.3,65286.8,65150,65150,53822736.0221,825.396,0
0,0,bitgetBTCUSDT,65060.7,65259.3,65060.7,65248.3,58953421.0895,904.283,0
0,0,bitgetBTCUSDT,65114.9,65142.1,65055.3,65060.7,13852485.337,212.824,0
0,0,bitgetBTCUSDT,65178,65202.2,65014.2,65114.9,67801579.0105,1041.698,0
0,0,bitgetBTCUSDT,65138,65225,65138,65178,55831427.6781,856.303,0
0,0,bitgetBTCUSDT,65109.5,65158.7,65074.7,65138,55734609.0979,856.033,0
0,0,bitgetBTCUSDT,65142.5,65195,65067.9,65109.5,102058551.6596,1566.981,0
0,0,bitgetBTCUSDT,65163.2,65224.6,65130.8,65142.5,81500667.7519,1250.431,0
0,0,bitgetBTCUSDT,65272.6,65308.6,65153.5,65163.2,32502542.8718,498.504,0
0,0,bitgetBTCUSDT,65251.9,65307,65242.5,65272.6,14846572.4137,227.426,0
0,0,bitgetBTCUSDT,65202.9,65318.8,65120.8,65251.9,74014916.2053,1134.409,0
0,0,bitgetBTCUSDT,65487.1,65488.6,65188,65202.9,89827695.3032,1375.2,0
0,0,bitgetBTCUSDT,65565.4,65612,65449.5,65487.1,78900934.2645,1203.702,0
0,0,bitgetBTCUSDT,65476.9,65568.2,65458.8,65565.4,18065258.4277,275.737,0
0,0,bitgetBTCUSDT,65427.6,65560,65405.6,65476.9,30537658.3806,466.259,0
